name,category,latitude,longitude
Key Food,supermarket,40.7568311,-73.9299366
AnK Grocery & Cigar,convenience,40.763815,-73.915283
Kitchen Valley Marketplace,supermarket,40.7674922,-73.9862892
GiGi Convenience,convenience,40.7963592,-73.9702194
D'Agostino,supermarket,40.7894351,-73.9696844
WS Deli,convenience,40.7927338,-73.9715807
Key Food,supermarket,40.7874676,-73.9754343
94 Star Deli,convenience,40.7932147,-73.9712092
Deli Plaza,convenience,40.8000124,-73.960282
King West Deli,convenience,40.7965454,-73.9627976
Felo Deli,convenience,40.794872,-73.9640182
Up Market,supermarket,40.7071196,-74.0094839
Hanover Gourmet Deli,convenience,40.7050665,-74.0098062
Sunrise Mart,supermarket,40.7232585,-74.0025757
Key Food,supermarket,40.763042,-73.912659
7-Eleven,convenience,40.8492957,-73.9708541
Vegan Shop,convenience,40.7052692,-73.9334152
L-mo's Market,convenience,40.7055341,-73.9317964
Key Food,supermarket,40.7302643,-73.9510367
C-Town,supermarket,40.73193,-73.9547275
Fresh Market Gourmet Deli,convenience,40.7324308,-73.9544694
Associated Supermarket,supermarket,40.7946199,-73.9634458
CVS Pharmacy,convenience,40.731866,-73.982422
Hamptons Fresh Deli,convenience,40.7306422,-73.9833068
Trader Joe's,supermarket,40.7334209,-73.987875
Trader Joe's Pronto,supermarket,40.7335574,-73.988259
Six 60 One,supermarket,40.791524,-73.9719473
C-Town,supermarket,40.8757465,-73.9085991
Westside Conveniences,convenience,40.7901129,-73.9734738
Barzini's,supermarket,40.7913829,-73.9745138
Broadway Farm,supermarket,40.7879142,-73.9771918
Six Corners Marketplace,convenience,40.8012852,-73.9681784
Mani Marketplace,convenience,40.7913384,-73.9683114
The Kosher Marketplace,convenience,40.7909404,-73.9741523
Ozzie's Fresh Market,supermarket,40.8548743,-73.9367816
Frank's Market,convenience,40.8553262,-73.9372566
AM-PM Deli and Grocery,convenience,40.7551164,-73.9947948
Food Universe Marketplace,supermarket,40.7857835,-73.9512112
Brooklyn Fare,supermarket,40.7320918,-74.0079219
Westside Market,supermarket,40.7388292,-73.9992011
Jeannie's Deli,convenience,40.7431771,-73.9997533
Chelsea Gourmet Deli,convenience,40.7444356,-73.9988372
Gardenia Deli,convenience,40.7497523,-73.9949752
Gristedes,supermarket,40.7444176,-73.9994014
Gristedes,supermarket,40.7475657,-73.9975067
7-Eleven,convenience,40.7486398,-73.9958251
West 21 Deli and Grocery,convenience,40.7439987,-73.999691
Lalu Deli & Grocery,convenience,40.788399,-73.971048
Space Market,convenience,40.7861136,-73.9726991
Andy's Deli,convenience,40.7438284,-74.0030402
King Boy Deli,convenience,40.7943075,-73.9713732
Key Food,supermarket,40.7899067,-73.9756025
Soha Gourmet Market,convenience,40.7954808,-73.9732801
Whole Foods Market,supermarket,40.7238482,-73.9923711
E Smoke & Convenience,convenience,40.7269777,-73.9860171
Sunnyside Gardens Market,convenience,40.7466761,-73.9178097
Cherry Valley Farm,supermarket,40.7824117,-73.9150563
A.M.H. Deli & Grocery,convenience,40.7986993,-73.9672434
DDY Minimarket & Deli,convenience,40.8009409,-73.9651057
900 West Fruit & Vegetables,convenience,40.7992964,-73.9667709
Ranch Deli,convenience,40.7978462,-73.9678285
7-Eleven,convenience,40.726572,-73.9914542
Houston Village Deli Farm,convenience,40.7251634,-73.9873
Sweet Village Market Place,convenience,40.7283644,-73.9849704
Healthy Greens Gourmet,convenience,40.7308947,-73.9891613
Prince Deli & Market,convenience,40.7306904,-73.9903252
Starlight Convenience,convenience,40.7328339,-73.9877433
East 7 Deli & Cafe,convenience,40.7269949,-73.98552
Slice 'n Spice,convenience,40.7438411,-73.9792381
Shop Fair,supermarket,40.8320798,-73.9356434
Food Center,convenience,40.8321867,-73.9356527
iFresh Market,supermarket,40.7184953,-73.9966034
K&D Grocery NY,convenience,40.7171261,-73.9946497
Union Market,supermarket,40.7223696,-73.9859805
Associated Supermarket,supermarket,40.8123399,-73.9417629
Tribeca Finest Marketplace,convenience,40.7218468,-74.0050121
386 Soho Deli Grocery,convenience,40.7212698,-74.004917
Spring Street Finest Deli,convenience,40.7258739,-74.0092515
Houston News International,convenience,40.7286906,-74.0051001
Talukder N Corp,convenience,40.7291973,-74.0050245
Hong Kong Supermarket,supermarket,40.71761,-73.996022
寶榮行食品中心,supermarket,40.7171212,-73.9967759
Convenience Shop,convenience,40.7179864,-74.0002146
City Park Convenient Store,convenience,40.7160763,-73.9995027
goPuff,convenience,40.7215689,-74.0054953
Tribeca Bagels,convenience,40.7209234,-74.0043457
Tom & Jerry Deli,convenience,40.7238463,-73.9761658
Alphabet,convenience,40.723652,-73.9793543
Star Food Mart & Deli,convenience,40.7223229,-73.9799609
Chinese Hispanic Grocery,convenience,40.7186283,-73.9916077
Happiness Deli,convenience,40.7178467,-73.9896095
Lucky Hester Corner Grocery,convenience,40.7167748,-73.9935164
Lucky Star Grocery,convenience,40.7166629,-73.9928552
DUMBO Gourmet Deli,convenience,40.7015395,-73.9844947
Fine Food,supermarket,40.7015331,-73.9843229
Chilo Food Center,convenience,40.7016759,-73.9193046
Fresh & Fancy Delicatessen,convenience,40.7014933,-73.9268769
Suydam Deli & Grill,convenience,40.7063241,-73.9193594
Roderiguez Deli Grocery,convenience,40.7118138,-73.9176912
Yummy Hive,convenience,40.7297579,-73.987082
Ranch Deli,convenience,40.8007295,-73.9620287
Amsterdam Marketplace,convenience,40.7832252,-73.9780062
407 Convenience,convenience,40.7834071,-73.9778927
C-Town,supermarket,40.835077,-73.9395759
Food Universe Marketplace,supermarket,40.8219224,-73.9531711
East & West Deli & Grocery,convenience,40.8254651,-73.9477205
Karama Deli Grocery,convenience,40.8240698,-73.9491754
Katerine Deli Grocery,convenience,40.823133,-73.9501667
Red Apple Deli Supermarket,convenience,40.8242375,-73.9489219
Manhattan Marketplace,convenience,40.7298496,-73.9834409
Gristedes,supermarket,40.7764703,-73.9559474
7-Eleven,convenience,40.7762581,-73.9555897
Fairway Market,supermarket,40.7443827,-73.9914762
Ideal Food Basket,supermarket,40.7905257,-73.9473484
The Deli Deli,convenience,40.7639699,-73.9590716
Amazon Go,supermarket,40.7579582,-73.9704396
Morton Williams,supermarket,40.7673529,-73.9565664
Joe's Gourmet Deli,convenience,40.7987439,-73.9634692
Superfresh,supermarket,40.7405051,-73.9232395
Key Food,supermarket,40.7171763,-73.9804277
Alaska Food Market,convenience,40.7428903,-74.0037132
100 Eight Avenue Deli & Grocery,convenience,40.7402747,-74.0019189
Adam's Market Place,convenience,40.7435985,-73.9999581
Ideal Food Basket,supermarket,40.7499612,-73.9990723
East Way Grocery,convenience,40.7346906,-73.9859133
Westside Market,supermarket,40.7350176,-73.9861522
Punjab on Third,convenience,40.7363371,-73.9852005
Wholesome Organic Gourmet Market,convenience,40.7359829,-73.9825474
Dreamland Deli,convenience,40.735347,-73.9829965
Stuy Grill & Deli,convenience,40.7351937,-73.980019
D'Agostino,supermarket,40.7353388,-73.9799132
Heavenly Market,convenience,40.7387696,-73.9834173
Lucky News,convenience,40.7378699,-73.9812736
Heavenly Market,convenience,40.7372407,-73.9811497
Peter Cooper Village Deli,convenience,40.7362141,-73.9792737
D'Agostino,supermarket,40.74026,-73.981871
515 Deli,convenience,40.7414959,-73.9785047
Bassel Deli,convenience,40.741001,-73.9788657
Shiva Wireless,convenience,40.7426292,-73.9821718
M & N Grocery,convenience,40.7421515,-73.9815519
Jose Deli Grocery,convenience,40.7352584,-73.9583282
Gristedes,supermarket,40.7647429,-73.9845408
Sparta Deli,convenience,40.7348514,-73.9363695
H Mart,supermarket,40.7478373,-73.9874388
603 Gourmet Deli,convenience,40.7442848,-73.976474
In A New York Minute Grab N' Gi,convenience,40.7508485,-73.9867781
Smiler Gourmet Deli,supermarket,40.7603302,-73.9914739
7-Eleven,convenience,40.7639997,-73.9851042
Grace 48 Deli & Grocery,convenience,40.7612086,-73.9871163
Sunac Natural Market,convenience,40.7607871,-73.9988189
Murry Hill Mini Market,convenience,40.7463553,-73.9779
Greenleaf Gourmet Deli,convenience,40.7471096,-73.9809788
Fresh n Save Marketplace,supermarket,40.7459561,-73.9137515
39 Gourmet,convenience,40.749574,-73.9772164
Seven Marketplace,convenience,40.7474807,-73.9741425
Space 62 Market,convenience,40.7615187,-73.9603618
Fresh Food Farm,convenience,40.7666997,-73.9596708
Tony Deli & Grocery,convenience,40.7741199,-73.9511665
7-Eleven,convenience,40.7746371,-73.9478346
84th & 2nd Corner Deli,convenience,40.7765808,-73.952428
S.M. News & Grocery,convenience,40.7837356,-73.9523129
Nature Valley Market,convenience,40.7860697,-73.9509527
Smoke N Vape,convenience,40.7779629,-73.9568713
One Up Bidtro,convenience,40.7881135,-73.9537052
Emmerson Gourmet Deli,convenience,40.7883491,-73.9472575
Morton Williams,supermarket,40.7760315,-73.982458
Andy's Deli,convenience,40.7797478,-73.9805708
West end Superette,convenience,40.7798536,-73.98418
Eats on Columbus Ave,convenience,40.785191,-73.9728637
MidWestside Convenience,convenience,40.7909712,-73.9723666
82nd Street Grocery,convenience,40.785073,-73.9771604
560 NY Mini Market,convenience,40.7885589,-73.9746089
Convenience Grocery,convenience,40.8001826,-73.9677493
Columbus Food Market,supermarket,40.7978757,-73.9633952
Caz Convenience,convenience,40.798109,-73.9634598
109 Spicy Gourmet Deli,convenience,40.802353,-73.9645686
Fine Fare,supermarket,40.7906288,-73.9451351
Oxford III Deli & Grocery,convenience,40.7893506,-73.9431445
Unknown,convenience,40.7927746,-73.9457241
348 Chopped Cheese Deli,convenience,40.7921581,-73.9384429
Fred's Munchies,convenience,40.8018884,-73.956978
Urban Gourmet Deli,convenience,40.8029592,-73.9523662
C-Town,supermarket,40.8037936,-73.9543191
Sunny Deli & Grill,convenience,40.8049571,-73.9570766
Westside Market,supermarket,40.8042614,-73.9662829
Thomas Deli,convenience,40.7963497,-73.9380271
AB Twins,convenience,40.7973252,-73.9342233
CD West Harlem Deli Corp,convenience,40.8070723,-73.9420154
Gourmet Deli,convenience,40.8089007,-73.951878
Esam Deli,convenience,40.8174709,-73.9387241
Right Way City,convenience,40.8179115,-73.9384039
Unknown,convenience,40.8191141,-73.9405931
145 Food Plaza,convenience,40.8207038,-73.9363757
New True Blue,convenience,40.8236762,-73.9415214
A&H Organic Choice,convenience,40.8235457,-73.9411793
Sequoia Food & Deli,convenience,40.822137,-73.9426556
Associated,supermarket,40.8199553,-73.9406341
94 St Nicholas Deli,convenience,40.829837,-73.9402967
Sugar Hill Candy Corp.,convenience,40.8254971,-73.9439194
Heights Food Deli,convenience,40.8227323,-73.9491916
Bahamas Deli Market,convenience,40.8137515,-73.96004
Olive Tree Deli,convenience,40.811191,-73.9612444
Grill and Height Deli,convenience,40.848329,-73.931713
Smile Deli,supermarket,40.8506814,-73.9379401
Tejada Grocery,supermarket,40.8505147,-73.9364169
Moscow On The Hudson,supermarket,40.8511129,-73.9385411
Key Food,supermarket,40.8540162,-73.9339891
Food Bazaar,supermarket,40.8253711,-73.919787
C-Town,supermarket,40.8123001,-73.9030044
2401 Gourmet Deli,convenience,40.772061,-73.9153543
Food Emporium,supermarket,40.7624439,-73.9267371
Unknown,convenience,40.7620338,-73.9258104
Optimo Cigars,convenience,40.7116897,-74.0064931
Rise and Shine Convenience,convenience,40.7050089,-74.0097706
Janes Market,convenience,40.7125217,-73.9987695
St. James Convenience & Stationary,convenience,40.7113571,-73.9998192
New Loho Gourmet Deli,convenience,40.7137458,-73.9869989
LES Gourmet Deli,convenience,40.7137206,-73.9872093
Fine Fare Supermarket,supermarket,40.7155895,-73.9871819
Ridge Mini Market & Deli,convenience,40.719695,-73.9829899
BLP Meat Market,convenience,40.7192224,-73.9848821
Mayimbe Grocery Corp,convenience,40.7198242,-73.9828852
16th St Deli,convenience,40.7326669,-73.9818521
Gracefully,supermarket,40.7341009,-73.9801603
710 Quick Stop,convenience,40.7473275,-73.9737997
148 Deli Grocery,convenience,40.824926,-73.9406083
Spitzer Convenience,convenience,40.7015791,-73.9580425
Kahan's Food Mart,supermarket,40.7052635,-73.9563449
Mini Market Plus,convenience,40.7066839,-73.9546262
Schwartz Supermarket,supermarket,40.7040353,-73.9582552
Key Food,supermarket,40.7410403,-73.9033432
JMZ Broadway Deli,convenience,40.7083909,-73.9582351
Alex Grocery & More,convenience,40.7083506,-73.9581081
Natural Gourme Deli,convenience,40.7007844,-73.9422849
Bravo,supermarket,40.7044067,-73.941137
J.C. Deli & Grill,convenience,40.7103509,-73.9486425
Mia's Delicatessen,convenience,40.7083787,-73.9515068
500 Grand Mini Mart,convenience,40.7108225,-73.9512583
Bread & Butter,convenience,40.7110966,-73.950936
Aden Food Market,convenience,40.7117631,-73.9628967
Bedford Fruit Market,convenience,40.7189192,-73.9567212
20 North Fifth Street Deli,convenience,40.7193344,-73.963381
Green Apple Deli,convenience,40.7158152,-73.9447555
Late Night Stars Deli,convenience,40.7151079,-73.9446461
Graham Garden,convenience,40.7153277,-73.9446826
Unknown,convenience,40.7169549,-73.9403613
Harvest Deli,convenience,40.7171681,-73.9404033
American Metro Gourmet Deli,convenience,40.7139368,-73.9527044
Met Foodmarket,supermarket,40.7230286,-73.9438268
Nassau Finest Deli,convenience,40.7254866,-73.945932
Blue Star Deli & Organic,convenience,40.718402,-73.9502204
Green Valley Mart,convenience,40.723115,-73.944907
Norman,convenience,40.7269594,-73.9474868
Point View Deli,convenience,40.7307853,-73.9493954
Walk In Deli,convenience,40.7212119,-73.9584202
Associated Supermarket,supermarket,40.7279711,-73.9530419
97 Deli & Grill,convenience,40.7292625,-73.9576444
Gulf Express,convenience,40.7335426,-73.9525202
Top 99 Cents Plus,convenience,40.7456502,-73.9016173
Unknown,supermarket,40.7457156,-73.9009755
Ocks,convenience,40.7418364,-73.9047837
Just Right Convenience,convenience,40.7452532,-73.9070189
Joy Baby & Grocery,convenience,40.7390001,-73.9178918
Mia Grocery Deli,convenience,40.7408383,-73.9174572
La Huerta Fruits & Vegetables,convenience,40.7394905,-73.9186112
Woodside Mini Market,convenience,40.7393423,-73.9186403
El Molino Carniceria,convenience,40.7404241,-73.9227909
Bombom Grocery,convenience,40.739558,-73.920491
Nube De Jesus Grocery #2,convenience,40.7418804,-73.9264154
Stars Deli Grocery,convenience,40.7420505,-73.9257478
La Guardia Gourmet Deli,convenience,40.7436549,-73.9253981
Love Deli Grocery,convenience,40.7401134,-73.9252869
Aakar Convenience,convenience,40.7415962,-73.9201304
Smoke Shop,convenience,40.7428987,-73.9189002
Good Neighbors Sunnyside,supermarket,40.7413207,-73.9191823
Green Tara Supermarket,convenience,40.7410875,-73.9174054
Taste Buds,convenience,40.7435287,-73.9193137
Viraj Mart,convenience,40.7440731,-73.9239756
Always Sunny Grocery,convenience,40.7456989,-73.9241153
G Mart,supermarket,40.7454811,-73.9071711
H.F Dollar & Up,supermarket,40.7458198,-73.9023909
Broadway Stop And Go,convenience,40.7535747,-73.9072215
Mexican Grill Deli & Bagel,convenience,40.7569108,-73.9069235
48th Street Deli,supermarket,40.7607036,-73.9085186
31st Ave Deli,convenience,40.7572375,-73.9080539
Trade Fair,supermarket,40.7603695,-73.9071639
Luca Convenience,convenience,40.7631877,-73.9131676
DS Mini Food Mart,convenience,40.7544589,-73.920315
Unknown,convenience,40.756816,-73.926108
Convenience Inc,convenience,40.7561392,-73.9200119
Saint-James Deli,convenience,40.7583713,-73.9247843
gopuff,convenience,40.7618485,-73.9168471
Fresh One Deli & Grill,convenience,40.7630368,-73.9210521
Astoria Beer & Market,convenience,40.7697224,-73.9170691
Annis Florals,convenience,40.7667102,-73.9213085
Trade Fair,supermarket,40.7669213,-73.9217462
Crater Candy Store,convenience,40.7670911,-73.9214944
Steinway Candy Grocery,convenience,40.7632358,-73.9283893
Jonaki,convenience,40.757181,-73.931314
Astoria Fish and Meat Market,convenience,40.757001,-73.93093
BBD Deli & Grocery,convenience,40.7569271,-73.9307714
242 Deli & Grocery,convenience,40.7589063,-73.9350039
C-Town,supermarket,40.7713493,-73.9250626
Empire City Gourmet Deli,convenience,40.754076,-73.9352919
Z&A Gourmet Deli,convenience,40.7718953,-73.9333963
Express Deli & Grocery,convenience,40.7718143,-73.9048419
Kapil Grocery,convenience,40.7735863,-73.9068698
Plata Grocery,convenience,40.7721847,-73.9150091
Stop-N-Go,convenience,40.774769,-73.9120951
Choithrams NY,convenience,40.7584332,-73.9930713
Ray's Candy Store,convenience,40.7262821,-73.9835462
Gristedes,supermarket,40.7709044,-73.9566042
Gristedes,supermarket,40.7733511,-73.9577457
Unknown,convenience,40.717682,-73.9577333
Citarella,supermarket,40.7343134,-73.9988298
55 Fulton Market,supermarket,40.7087325,-74.0046656
Bridge Fresh,convenience,40.7028467,-73.9868284
Wholesome Farms Market,convenience,40.7016503,-73.9868925
D'Agostino,supermarket,40.7718642,-73.950313
Mike Deli & Grill,convenience,40.7086915,-73.9432465
Western Beef,supermarket,40.7430028,-74.0057335
Pioneer Supermarket,supermarket,40.7784303,-73.9778128
Mrs. K's,supermarket,40.7453997,-73.984887
The Grand,supermarket,40.8432697,-74.0009983
Wegmans,supermarket,40.7304151,-73.9910411
Meat And Fruit,convenience,40.7981316,-73.9366967
International Grocery,convenience,40.7573631,-73.9936359
Amish Market East,supermarket,40.7518577,-73.9714496
Cafe Olympia,convenience,40.7514614,-73.9712876
Agata & Valentina,supermarket,40.7330833,-73.9937129
Gristedes,supermarket,40.7318147,-73.9943928
Foodtown,supermarket,40.7646858,-73.9469464
Nini's Deli & Grocery,convenience,40.7612572,-73.9407604
Rio Market Inc,convenience,40.7560342,-73.9282495
Trade Fair,supermarket,40.7590707,-73.9354641
Food store,convenience,40.760582,-73.9389109
The Food Emporium,supermarket,40.7598592,-73.9943408
City Acres Market,supermarket,40.7109861,-73.968269
Unknown,convenience,40.7583813,-73.9248323
Lime Tree Market,convenience,40.7280284,-73.9847603
Third Avenue Garden,convenience,40.7819853,-73.9519088
Gristedes,supermarket,40.7485791,-73.9728213
D'Agostino,supermarket,40.7484684,-73.9763928
Wild Olive Market,supermarket,40.8060888,-73.9418784
7-Eleven,convenience,40.709775,-74.00663
7-Eleven,convenience,40.7327511,-73.9854492
Community Grocery & Candy,convenience,40.731607,-73.9827807
Stuyvesant Gourmet Deli,convenience,40.7303471,-73.9806111
Mike Deli,convenience,40.7307985,-73.9816801
La Famosa,convenience,40.7118359,-73.9609792
Aden Organic,convenience,40.7113927,-73.9597454
Fairway Market,supermarket,40.7423053,-73.977245
Kips Bay Deli,convenience,40.7424812,-73.9777941
7-Eleven,convenience,40.7448641,-73.9789977
Acme,supermarket,40.782049,-74.0067047
Ben's Deli Grocery,convenience,40.7225632,-73.9831978
4th Street Deli,supermarket,40.7231548,-73.9826986
Little Michael,convenience,40.7426207,-73.98266
45 Deli Market,convenience,40.7517388,-73.9710772
Danish Gourmet Grill,convenience,40.7478858,-73.9738634
CVS Pharmacy,convenience,40.7448855,-73.9765318
Grace Deli,convenience,40.7446499,-73.9811726
Trader Joe's,supermarket,40.7418779,-73.9938343
Green Bay Organic Marketplace,supermarket,40.761347,-73.924417
Bonoful Grocery,supermarket,40.7572771,-73.9309411
Meera Deli,convenience,40.7482831,-73.9474667
Key Food,supermarket,40.7478847,-73.9472019
Bud n' Budder,convenience,40.759703,-73.92082
Farm Country Supermarket,supermarket,40.761938,-73.918027
Morton Williams,supermarket,40.7394797,-73.9871968
Murray Hill Market,convenience,40.7462012,-73.9796702
4th Street Food Co-Op,supermarket,40.72665,-73.9907961
Daniel's Epicurian Market,convenience,40.7263955,-73.9484394
Tiny Green,convenience,40.726584,-73.9486336
Joe's Busy Corner,convenience,40.7171832,-73.9564631
Lucky Star Bamboo Depot,supermarket,40.7155467,-73.9979578
Deli Grocery,convenience,40.7226322,-73.9769706
Manhatten Express Deli Grocery,convenience,40.7230469,-73.9766767
Taasha Deli Grocery,convenience,40.7208798,-73.9974599
Your Desire In Food,convenience,40.7240563,-73.9790595
Olympia Finest Deli,convenience,40.7444967,-73.9918813
58th Deli Grocery,convenience,40.7484194,-73.9049668
H Mart,supermarket,40.7518183,-73.9147688
High Rise,convenience,40.7581479,-73.989628
Superfresh,supermarket,40.7109067,-74.0002433
Fine Fare Supermarket,supermarket,40.8212432,-73.9387526
City Fresh Market,supermarket,40.7653907,-73.9305232
Urban market,supermarket,40.7433981,-73.9582566
Zaitoun (Quran playing),supermarket,40.7673375,-73.9124025
Kalustyan's,supermarket,40.7428294,-73.9821376
CVS Pharmacy,convenience,40.7199694,-73.9623729
Trader Joe's,supermarket,40.743901,-73.9791696
The Food Emporium,supermarket,40.8230831,-73.9375251
Eataly,supermarket,40.7100561,-74.0119204
Associated Supermarket,supermarket,40.7246361,-73.9786539
Associated Fresh Supermarket,supermarket,40.7940399,-73.9494404
Chelsea Deli,convenience,40.7505148,-74.0023756
Hudson Market,supermarket,40.7506484,-74.0022692
7-Eleven,convenience,40.8188708,-73.9274171
Marché Madison,convenience,40.7454289,-73.9719788
Le District,supermarket,40.7123705,-74.01569
Brookfield Place,supermarket,40.7129846,-74.0150822
Han Ah Reum (H Mart),supermarket,40.7450652,-73.9048696
Smiler's Deli,convenience,40.7605392,-73.9738743
Lotto & Smoke Shop,convenience,40.7516549,-73.9742138
7-Eleven,convenience,40.7181523,-74.0010157
Whole Foods Market,supermarket,40.7796967,-73.9529487
Grand Bazaar Food,supermarket,40.8303036,-73.9855059
ALDI,supermarket,40.8195859,-73.9130582
Gopuff,convenience,40.7451986,-73.9764433
Dainobu,convenience,40.7545055,-73.9732109
Whole Foods Market,supermarket,40.7546279,-73.9845292
Target,supermarket,40.7522636,-73.9921578
Apple Tree Supermarket,supermarket,40.8094157,-73.9589337
Dainobu,supermarket,40.762941,-73.9763126
Eataly,supermarket,40.742213,-73.9895802
Bravo,supermarket,40.8466157,-73.9359507
Whole Foods Market,supermarket,40.7161301,-73.959759
D'Agostino,supermarket,40.7466075,-73.9777324
East Side Cigar & Smoke Shop,convenience,40.7214552,-73.9844117
Natural Frontier Market,supermarket,40.7437208,-73.9510083
Yee's Vernon Market,supermarket,40.7444616,-73.9533362
Stop 1 Deli,convenience,40.7192257,-73.9858556
Spark's Deli,convenience,40.7389122,-73.9410043
Kimchee Market,convenience,40.7305132,-73.9519306
Grillpoint Deli,convenience,40.7303223,-73.954457
Green Point Deli,convenience,40.7345186,-73.9370663
Health Nuts Store,supermarket,40.7632547,-73.9621838
Búzios,convenience,40.7558936,-73.9803945
Blissville Deli and Grocery,convenience,40.7360706,-73.9352705
Van Dam Deli,convenience,40.7360637,-73.9366946
7-Eleven,convenience,40.7076397,-74.0055749
Deli Gourmet & Juice Bar,convenience,40.7329689,-73.9901812
Garden City Deli,convenience,40.7039509,-74.0104369
All American Deli,convenience,40.7035366,-74.010125
Walgreens,supermarket,40.7006538,-73.9415196
CVS Pharmacy,convenience,40.7299609,-73.9905041
Morton Williams,supermarket,40.7643891,-73.9647628
Hana Natural,supermarket,40.7062265,-73.9225691
Amish Market,convenience,40.7632227,-73.9893814
Corner News Grocery Store,convenience,40.7557859,-73.9906226
76 Fulton Convenience,convenience,40.7089893,-74.0055485
Key Food,supermarket,40.8266906,-73.9499492
Al-Noor Halal Grocery,supermarket,40.7680366,-73.9118075
Unknown,convenience,40.7317599,-73.9516484
Shop Smart Food Center,convenience,40.7957058,-73.946285
Futuro Deli & Grocery,convenience,40.800795,-73.9352751
Koufuku Mart,supermarket,40.7488008,-73.9397272
LIC Gourmet Deli,convenience,40.7474248,-73.9474012
CB Deli Grocery,convenience,40.7234693,-73.9411291
Amir,convenience,40.7176712,-73.9404821
T&A,convenience,40.7126495,-73.9384324
D&J,convenience,40.7129458,-73.9371791
A&J,convenience,40.7055027,-73.9297695
J&C Mini Market,convenience,40.7047883,-73.924801
G&L,convenience,40.7144867,-73.9462336
Royal Deli Grocery,convenience,40.7145523,-73.9428222
S&K,convenience,40.7171679,-73.9480852
Garden Market,convenience,40.7250446,-73.9466441
Buckley's,convenience,40.7259812,-73.941983
Jiffy,convenience,40.7254942,-73.9448204
O.H.S. Mini Market,convenience,40.7258564,-73.9432359
51 St Deli Grocery,convenience,40.7444811,-73.9135511
Morton Williams,supermarket,40.727713,-73.9987374
1068 Mini Market Deli Grocery,convenience,40.735278,-73.9549475
A&M Gourmet,convenience,40.7331904,-73.9519263
